Route_ID,Bus_ID,Date,Time,Passenger_Count,Bus_Capacity,Traffic_Level,Load_Percentage,Load_Status,Recommendation,Cluster,Demand_Level
R2,B101,2026-09-06,10:30,32,50,Low,64.0,Normal,No action required,2,Medium Demand
R2,B119,2026-09-01,21:30,15,55,Low,27.27272727272727,Low Load,Reduce bus frequency,0,Low Demand
R9,B120,2026-09-13,04:30,22,40,Low,55.00000000000001,Normal,No action required,0,Low Demand
R10,B109,2026-09-04,15:00,18,40,Medium,45.0,Low Load,Reduce bus frequency,0,Low Demand
R3,B107,2026-09-03,09:30,44,50,Low,88.0,High Load,Consider adding a bus,1,High Demand
R1,B115,2026-09-03,21:00,30,60,High,50.0,Normal,No action required,0,Low Demand
R9,B110,2026-09-08,22:30,39,60,Medium,65.0,Normal,No action required,2,Medium Demand
R5,B103,2026-09-03,09:00,39,45,Medium,86.66666666666667,High Load,Consider adding a bus,2,Medium Demand
R6,B106,2026-09-08,19:00,45,50,Medium,90.0,High Load,Consider adding a bus,1,High Demand
R10,B106,2026-09-06,10:30,27,60,Low,45.0,Low Load,Reduce bus frequency,0,Low Demand
R9,B108,2026-09-02,10:00,32,50,Medium,64.0,Normal,No action required,2,Medium Demand
R4,B119,2026-09-05,18:00,46,50,High,92.0,High Load,Consider adding a bus,1,High Demand
R8,B105,2026-09-04,04:30,29,50,Low,57.99999999999999,Normal,No action required,2,Medium Demand
R10,B113,2026-09-05,21:30,21,50,High,42.0,Low Load,Reduce bus frequency,0,Low Demand
R8,B103,2026-09-03,13:30,12,40,Low,30.0,Low Load,Reduce bus frequency,0,Low Demand
R7,B113,2026-09-11,05:00,51,60,Medium,85.0,High Load,Consider adding a bus,1,High Demand
R1,B104,2026-09-06,22:00,32,60,Medium,53.333333333333336,Normal,No action required,2,Medium Demand
R1,B109,2026-09-05,00:30,25,60,Medium,41.66666666666667,Low Load,Reduce bus frequency,0,Low Demand
R5,B117,2026-09-05,11:00,34,60,Low,56.666666666666664,Normal,No action required,2,Medium Demand
R9,B101,2026-09-08,03:00,15,60,Low,25.0,Low Load,Reduce bus frequency,0,Low Demand
R6,B110,2026-09-02,11:00,31,45,Low,68.88888888888889,Normal,No action required,2,Medium Demand
R2,B118,2026-09-03,23:00,39,45,Medium,86.66666666666667,High Load,Consider adding a bus,2,Medium Demand
R3,B109,2026-09-14,04:00,23,60,Low,38.333333333333336,Low Load,Reduce bus frequency,0,Low Demand
R4,B110,2026-09-15,02:00,42,55,Low,76.36363636363637,Normal,No action required,2,Medium Demand
R8,B104,2026-09-06,00:30,8,45,Low,17.77777777777778,Low Load,Reduce bus frequency,0,Low Demand
R1,B103,2026-09-06,02:30,13,40,Low,32.5,Low Load,Reduce bus frequency,0,Low Demand
R6,B103,2026-09-06,07:00,50,60,Medium,83.33333333333334,High Load,Consider adding a bus,1,High Demand
R10,B119,2026-09-06,09:30,57,55,High,103.63636363636364,Overloaded,Add additional bus immediately,1,High Demand
R4,B104,2026-09-10,10:00,36,40,Medium,90.0,High Load,Consider adding a bus,2,Medium Demand
R2,B102,2026-09-08,11:00,17,55,Medium,30.909090909090907,Low Load,Reduce bus frequency,0,Low Demand
